doi,publisher,journal,open_access,uob_is_corresponding,year
10.1017/s0144686x22001088,Cambridge University Press,Ageing and Society,hybrid,TRUE,2022
10.1017/s1463423622000779,Cambridge University Press,Primary Health Care Research & Development,gold,TRUE,2023
10.1017/s1744137421000291,Cambridge University Press,Journal of Institutional Economics,hybrid,TRUE,2021
10.1080/1064119x.2024.2407844,Taylor & Francis,Marine Georesources and Geotechnology,hybrid,TRUE,2024
10.1080/1540496x.2023.2210716,Taylor & Francis,Emerging Markets Finance and Trade,hybrid,TRUE,2023
10.1080/1540496x.2023.2228466,Taylor & Francis,Emerging Markets Finance and Trade,hybrid,TRUE,2023
10.1080/1540496x.2023.2284300,Taylor & Francis,Emerging Markets Finance and Trade,hybrid,TRUE,2023
10.1108/bfj-03-2021-0221,Emerald,British Food Journal,green,TRUE,2021
10.1108/ijebr-02-2023-0165,Emerald,International Journal of Entrepreneurial Behaviour & Research,green,TRUE,2023
10.1108/ijebr-10-2021-0816,Emerald,International Journal of Entrepreneurial Behaviour & Research,green,TRUE,2022
10.1108/ijes-12-2021-0080,Emerald,International Journal of Emergency Services,green,TRUE,2022
10.1108/itp-07-2020-0460,Emerald,Information Technology and People,green,TRUE,2021
10.1108/itp-10-2020-0706,Emerald,Information Technology and People,green,TRUE,2021
10.1108/scm-01-2023-0045,Emerald,Supply Chain Management An International Journal,green,TRUE,2023
10.1109/access.2021.3121622,IEEE,IEEE Access,gold,TRUE,2021
10.1109/access.2022.3196610,IEEE,IEEE Access,gold,TRUE,2022
10.1109/access.2023.3234024,IEEE,IEEE Access,gold,TRUE,2023
10.1109/access.2023.3313200,IEEE,IEEE Access,gold,TRUE,2023
10.1109/access.2024.3434558,IEEE,IEEE Access,gold,TRUE,2024
10.1109/access.2024.3440653,IEEE,IEEE Access,gold,TRUE,2024
10.1109/access.2024.3524178,IEEE,IEEE Access,gold,TRUE,2024
10.1109/access.2025.3538591,IEEE,IEEE Access,gold,TRUE,2025
10.1109/ojcoms.2024.3419570,IEEE,IEEE Open Journal of the Communications Society,gold,TRUE,2024
10.1109/tac.2021.3064991,IEEE,IEEE Transactions on Automatic Control,green,TRUE,2021
10.1142/s021848852450003x,World Scientific,International Journal of Uncertainty Fuzziness and Knowledge-Based Systems,green,TRUE,2024
10.1161/circresaha.123.323464,Wolters Kluwer,Circulation Research,green,TRUE,2024
10.1167/tvst.10.6.31,Association for Research in Vision and Ophthalmology (ARVO),Translational Vision Science & Technology,gold,TRUE,2021
10.1177/1354067x211044990,SAGE,Culture & Psychology,hybrid,TRUE,2021
10.2147/ppa.s302016,Taylor & Francis,Patient Preference and Adherence,gold,TRUE,2021
10.4103/jispcd.jispcd_74_22,Wolters Kluwer,Journal of International Society of Preventive and Community Dentistry,green,TRUE,2022
10.4103/jispcd.jispcd_75_22,Wolters Kluwer,Journal of International Society of Preventive and Community Dentistry,green,TRUE,2022
10.7717/peerj-cs.805,PeerJ,PeerJ Computer Science,gold,TRUE,2021
10.1002/14651858.cd009531.pub3,Wiley,Cochrane Database of Systematic Reviews,green,TRUE,2024
10.1002/acn3.51511,Wiley,Annals of Clinical and Translational Neurology,gold,FALSE,2022
10.1002/adfm.202004550,Wiley,Advanced Functional Materials,hybrid,FALSE,2021
10.1002/adfm.202203430,Wiley,Advanced Functional Materials,hybrid,FALSE,2022
10.1002/adfm.202212277,Wiley,Advanced Functional Materials,closed,TRUE,2023
10.1002/adfm.202420859,Wiley,Advanced Functional Materials,closed,FALSE,2024
10.1002/admt.202201274,Wiley,Advanced Materials Technologies,hybrid,FALSE,2023
10.1002/adsu.202300269,Wiley,Advanced Sustainable Systems,hybrid,TRUE,2023
10.1002/advs.202003941,Wiley,Advanced Science,gold,FALSE,2021
10.1002/advs.202403831,Wiley,Advanced Science,gold,TRUE,2024
10.1002/ajoc.202200564,Wiley,Asian Journal of Organic Chemistry,closed,FALSE,2022
10.1002/ajpa.24207,Wiley,American Journal of Biological Anthropology,bronze,FALSE,2021
10.1002/ajpa.24497,Wiley,American Journal of Biological Anthropology,hybrid,TRUE,2022
10.1002/ajpa.24828,Wiley,American Journal of Biological Anthropology,closed,FALSE,2023
10.1002/ajpa.24938,Wiley,American Journal of Biological Anthropology,hybrid,TRUE,2024
10.1002/alz.071062,Wiley,Alzheimer's & Dementia,bronze,FALSE,2023
10.1002/alz.071273,Wiley,Alzheimer's & Dementia,bronze,FALSE,2023
10.1002/app.49742,Wiley,Journal of Applied Polymer Science,closed,FALSE,2021
10.1002/app.54435,Wiley,Journal of Applied Polymer Science,hybrid,TRUE,2023
10.1002/arp.1939,Wiley,Archaeological Prospection,hybrid,TRUE,2024
10.1002/arp.1959,Wiley,Archaeological Prospection,hybrid,TRUE,2024
10.1002/art.42470,Wiley,Arthritis & Rheumatology,hybrid,FALSE,2023
10.1002/biof.2003,Wiley,BioFactors,hybrid,TRUE,2023
10.1002/bit.27729,Wiley,Biotechnology and Bioengineering,hybrid,TRUE,2021
10.1002/brb3.2436,Wiley,Brain and Behavior,gold,FALSE,2021
10.1002/bse.2694,Wiley,Business Strategy and the Environment,green,FALSE,2021
10.1002/bse.2729,Wiley,Business Strategy and the Environment,green,TRUE,2021
10.1002/bse.2742,Wiley,Business Strategy and the Environment,green,TRUE,2021
10.1002/bse.2805,Wiley,Business Strategy and the Environment,hybrid,FALSE,2021
10.1002/bse.3492,Wiley,Business Strategy and the Environment,hybrid,FALSE,2023
10.1002/bse.3495,Wiley,Business Strategy and the Environment,hybrid,TRUE,2023
10.1002/bse.4110,Wiley,Business Strategy and the Environment,hybrid,TRUE,2024
10.1002/bse.4124,Wiley,Business Strategy and the Environment,hybrid,TRUE,2024
10.1002/bse.4189,Wiley,Business Strategy and the Environment,hybrid,TRUE,2025
10.1002/ca.24014,Wiley,Clinical Anatomy,hybrid,TRUE,2023
10.1002/cam4.4756,Wiley,Cancer Medicine,gold,FALSE,2022
10.1002/casp.2647,Wiley,Journal of Community & Applied Social Psychology,hybrid,FALSE,2022
10.1002/cbdv.202000735,Wiley,Chemistry & Biodiversity,closed,FALSE,2021
10.1002/cbic.202100641,Wiley,ChemBioChem,green,TRUE,2022
10.1002/cbic.202200259,Wiley,ChemBioChem,hybrid,TRUE,2022
10.1002/ceat.202200539,Wiley,Chemical Engineering & Technology,hybrid,TRUE,2023
10.1002/cem.3342,Wiley,Journal of Chemometrics,closed,FALSE,2021
10.1002/cepa.1341,Wiley,Ce/Papers,hybrid,FALSE,2021
10.1002/cepa.1908,Wiley,Ce/Papers,green,FALSE,2023
10.1002/chem.202004024,Wiley,Chemistry - A European Journal,green,TRUE,2021
10.1002/chem.202402892,Wiley,Chemistry - A European Journal,hybrid,FALSE,2024
10.1002/chem.202486803,Wiley,Chemistry - A European Journal,closed,FALSE,2024
10.1002/cjce.25357,Wiley,The Canadian Journal of Chemical Engineering,hybrid,TRUE,2024
10.1002/cmdc.202000672,Wiley,ChemMedChem,green,TRUE,2021
10.1002/cpe.6668,Wiley,Concurrency and Computation Practice and Experience,bronze,TRUE,2021
10.1002/cpz1.1113,Wiley,Current Protocols,hybrid,FALSE,2024
10.1002/csr.2092,Wiley,Corporate Social Responsibility and Environmental Management,closed,TRUE,2021
10.1002/csr.2185,Wiley,Corporate Social Responsibility and Environmental Management,closed,TRUE,2021
10.1002/csr.3074,Wiley,Corporate Social Responsibility and Environmental Management,closed,FALSE,2025
10.1002/dac.4199,Wiley,International Journal of Communication Systems,green,FALSE,2023
10.1002/dac.5557,Wiley,International Journal of Communication Systems,closed,TRUE,2023
10.1002/ece3.7758,Wiley,Ecology and Evolution,gold,FALSE,2021
10.1002/ejoc.202200416,Wiley,European Journal of Organic Chemistry,hybrid,TRUE,2022
10.1002/ejoc.202300393,Wiley,European Journal of Organic Chemistry,bronze,TRUE,2023
10.1002/ejoc.202300789,Wiley,European Journal of Organic Chemistry,hybrid,TRUE,2023
10.1002/eng2.12578,Wiley,Engineering Reports,gold,FALSE,2022
10.1002/ett.3899,Wiley,Transactions on Emerging Telecommunications Technologies,hybrid,FALSE,2022
10.1002/ett.4158,Wiley,Transactions on Emerging Telecommunications Technologies,closed,TRUE,2021
10.1002/fam.2997,Wiley,Fire and Materials,green,FALSE,2021
